date,State and local government employee defined benefit retirement funds; total financial assets,State and local government employee defined benefit retirement funds; checkable deposits and currency; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,State and local government employee defined benefit retirement funds; money market fund shares; asset,State and local government employee defined benefit retirement funds; security repurchase agreements; asset,State and local government employee defined benefit retirement funds retirement funds; debt securities; asset,State and local government employee defined benefit retirement funds; commercial paper; asset,State and local government employee defined benefit retirement funds; Treasury securities; asset,State and local government employee defined benefit retirement funds; agency- and GSE-backed securities; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,State and local government employee defined benefit retirement funds; corporate and foreign bonds; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; mutual fund shares; asset,State and local government employee defined benefit retirement funds; miscellaneous assets,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local government employee defined benefit retirement funds; unidentified miscellaneous assets,State and local government employee defined benefit retirement funds; pension entitlements (total liabilities)
2006:Q3,59607,-255,10,2629,194,-480,2106,1152,-13164,-141,9567,2181,-38813,-3789,97930,96677,1253,59629
2006:Q4,60283,15,44,3309,241,25116,2593,4099,2893,-99,15630,-1007,-64712,-2244,99521,95229,4292,60306
2007:Q1,59631,-1256,-119,-188,20,-23697,592,-11349,-38396,-93,25549,1413,-9747,-5302,98507,100291,-1784,59677
2007:Q2,60987,1223,199,6431,455,81033,4692,18546,18097,-72,39770,1676,22494,-1205,-51319,-54613,3294,61037
2007:Q3,62361,-2631,-465,-10512,-658,-18415,-5802,-5816,-10666,-64,3933,1794,-17258,-11193,121699,115376,6323,62415
2007:Q4,63060,115,-85,-731,-17,16068,232,-16606,-26690,35,59097,7807,19860,-16016,36059,39393,-3334,63117
2008:Q1,63072,2003,176,5811,425,-9535,4559,-6641,-10597,-31,3175,-1519,78506,-6495,-6300,-2975,-3325,63122
2008:Q2,63769,-21,-103,-1259,-48,17263,-26,388,-5604,-53,22558,-8485,68607,-16844,4659,6587,-1928,63821
2008:Q3,65199,-247,-336,-7271,-464,-29394,-4214,-2611,-17274,6,-5301,-1613,44077,7303,53144,60758,-7614,65251
2008:Q4,65914,3845,125,5926,447,-62731,4946,-6983,-21505,-53,-39136,-2320,65432,4347,50843,64268,-13425,65964
2009:Q1,65089,2602,-14,1863,171,-29423,2216,5880,-10909,-109,-26501,-465,72926,-6426,23855,33021,-9166,65120
2009:Q2,66228,59,-302,-6148,-397,-4684,-3663,10694,-8287,-88,-3340,-752,-137283,-26337,242072,244368,-2296,66254
2009:Q3,67108,2203,-6,1535,149,-5397,2009,-1294,-2213,93,-3992,24,-10605,-10478,89683,90798,-1115,67131
2009:Q4,66975,-538,-162,-4073,-257,9326,-2295,5239,2427,197,3758,-715,3939,4624,54831,46067,8764,66996
2010:Q1,65159,585,-99,-1748,-91,12951,-560,7391,5567,170,383,311,-29079,-2782,85111,83102,2009,65186
2010:Q2,65364,1126,-67,-651,-10,-14398,301,-5139,-3713,156,-6003,203,73024,6562,-426,-2520,2094,65393
2010:Q3,65446,-2597,-163,-1055,-42,-7170,-39,-7364,-9640,79,9794,292,-52362,-12218,140761,140237,524,65476
2010:Q4,64753,1081,-30,4709,401,23452,4933,8500,1981,235,7803,-663,-59020,204,94619,87654,6965,64785
2011:Q1,62687,2366,16,6565,556,13800,6825,4988,1002,146,839,-310,-40387,898,79183,71920,7263,62710
2011:Q2,62762,262,-59,3173,304,5971,4075,7502,5175,57,-10838,141,1695,537,50738,46772,3966,62788
2011:Q3,62912,-1222,162,-5876,-463,-74389,-5355,-23967,-31002,-405,-13660,2223,153586,-53295,42186,39878,2308,62942
2011:Q4,62460,-1350,159,-6139,-484,-9557,-5594,-9797,-23484,-349,29667,-792,-43870,-22279,146772,145773,999,62492
2012:Q1,61324,2098,247,899,70,70080,819,42598,21850,-344,5157,-1535,-50,-43177,32692,40054,-7362,61389
2012:Q2,60843,1385,228,-559,-44,5264,-510,5795,-7112,-346,7437,-601,36629,-15472,34013,28450,5563,60911
2012:Q3,60906,1527,517,1882,149,-14564,1715,-8302,-10339,340,2022,-228,-56445,13703,114365,111173,3192,60973
2012:Q4,60173,927,485,953,75,14740,869,5268,-1859,358,10104,100,5965,13141,23787,26163,-2376,60241
2013:Q1,58236,760,476,695,55,17739,633,12983,3411,361,351,-1039,-81154,11124,109580,108632,948,58189
2013:Q2,58190,-1621,348,-2986,-236,21827,-2721,1831,-3915,438,26194,-408,-16851,14668,43449,43726,-277,58141
2013:Q3,58257,1046,123,1765,140,8103,1609,-3505,-226,46,10179,-1497,-53486,6696,95367,95201,166,58208
2013:Q4,57861,3772,433,5799,457,25558,5284,-3094,-99,24,23443,-1054,-78585,4730,96751,97867,-1116,57811
2014:Q1,56382,-879,-95,-1082,-85,6478,-986,1289,2786,-60,3449,943,-45997,11519,85580,83248,2332,56343
2014:Q2,56956,-1344,-150,-1771,-140,37723,-1614,12367,8824,-33,18179,2120,-24795,8315,36998,35385,1613,56918
2014:Q3,57689,662,-434,-1778,-140,12797,-1621,942,485,-59,13050,-1817,23801,9451,15147,18540,-3393,57650
2014:Q4,57918,3805,-75,2959,233,-2096,2697,-2677,-778,-12,-1326,490,-39463,14842,77223,73639,3584,57879
2015:Q1,56922,428,-461,-2131,-168,-18851,-1942,-24706,-13564,-6,21367,568,15103,10666,51768,49838,1930,56898
2015:Q2,57824,4702,27,4311,340,28784,3929,13316,6149,43,5347,460,7991,8261,2948,6024,-3076,57799
2015:Q3,58662,-2353,-217,-2487,-196,-20184,-2267,-16991,-7879,45,6908,233,62691,11398,9777,10555,-778,58637
2015:Q4,58768,-62,-69,346,27,14505,316,6184,4401,44,3560,-1396,-63170,-95,108682,106264,2418,58743
2016:Q1,58121,-1776,-180,-1774,-140,-4011,-1616,-8101,-2775,43,8438,404,13152,-3635,56081,58260,-2179,58126
2016:Q2,58081,3512,163,4770,377,-10313,4346,11239,8464,-1,-34361,760,-31857,21080,69589,55445,14144,58086
2016:Q3,58631,-2121,126,2144,169,2957,1954,20588,-2754,46,-16877,8998,-39537,-2332,88227,76304,11923,58637
2016:Q4,58508,2261,381,7749,611,16681,7062,24355,-3159,137,-11714,-3646,-35242,3965,65748,54766,10982,58514
2017:Q1,57074,-5625,-79,-2339,-185,12419,-2132,20672,-2490,11,-3642,-4143,-35277,2413,89890,73644,16246,57092
2017:Q2,57529,-4581,-18,-1003,-79,6272,-914,21775,-1533,-14,-13042,-2122,2067,2282,54711,40827,13884,57548
2017:Q3,57958,643,-61,1872,148,11543,1706,4197,2509,327,2804,-4114,-5376,3935,49368,41524,7844,57977
2017:Q4,57749,-838,-196,-969,-76,22297,-883,24216,10169,341,-11546,2747,-23294,885,57193,51858,5335,57769
2018:Q1,56397,417,-82,1439,113,43882,1311,15967,6268,413,19923,539,3862,15087,-8860,-17617,8757,56353
2018:Q2,56942,-308,-149,48,4,-16867,43,8601,4450,336,-30297,1985,-24351,11896,84684,74772,9912,56898
2018:Q3,57608,-362,-27,-724,-57,429,-660,-1716,-1805,-670,5280,3116,-44756,-15468,115457,120338,-4881,57563
2018:Q4,57774,-1400,-106,-2804,-221,29444,-2555,29958,3825,642,-2426,-212,-17011,14496,35588,46377,-10789,57728
2019:Q1,56748,1319,105,2705,206,-8900,2466,1887,1036,-1000,-13289,325,74714,-22275,8549,9260,-711,56721
2019:Q2,57680,4839,1786,-5344,-402,-57446,-2788,15496,-663,0,-69491,-815,-127993,-39129,282184,64990,217194,57652
2019:Q3,58634,5683,81,498,8354,-41347,-5006,-45306,31803,0,-22838,258,47566,84105,-46564,64192,-110756,58606
2019:Q4,58932,-7843,2322,4280,-4951,-44461,572,-8668,-11553,0,-24812,-1238,-18008,-16947,145778,64190,81588,58903
2020:Q1,58513,-492,-228,7343,-190,3388,3942,-31337,2425,0,28358,418,13837,-2999,37436,64190,-26754,58493
2020:Q2,58648,-1586,-1465,-1562,-2411,-7072,-6008,-37943,11780,0,25099,-992,-44178,-10295,128209,64180,64029,58622
2020:Q3,59283,1162,-321,930,-1259,27315,-66,27653,11565,0,-11837,233,31336,-1310,1197,64175,-62978,59257
2020:Q4,59096,6873,9,-6503,4958,51000,-1628,42604,-1528,0,11552,-593,-31317,24686,9983,64174,-54191,59070
2021:Q1,59094,-3199,7,2106,10539,61690,6717,17077,5163,0,32733,492,-41171,-22043,50673,64170,-13497,59070
2021:Q2,59094,1112,162,-1437,6146,69898,3066,44328,-637,0,23141,-69,-67532,-8073,58887,64164,-5277,59069
2021:Q3,59098,8219,-254,7393,-8039,11921,-1039,28013,10657,0,-25710,218,-84298,9743,114195,64168,50027,59070
2021:Q4,59099,3244,-19,389,3393,48515,1775,32929,3406,0,10405,12,-64679,1076,67168,64159,3009,59069
